State,Median AQI
Alabama,38.27777777777778
Alaska,22.0
Arizona,47.23076923076923
Arkansas,37.09090909090909
California,49.0188679245283
Colorado,36.4375
Connecticut,38.25
Country Of Mexico,50.0
Delaware,41.333333333333336
District Of Columbia,51.0
Florida,36.8974358974359
Georgia,37.12903225806452
Hawaii,52.5
Idaho,27.38095238095238
Illinois,36.23076923076923
Indiana,35.51219512195122
Iowa,35.77777777777778
Kansas,32.63636363636363
Kentucky,39.07142857142857
Louisiana,34.95652173913044
Maine,33.81818181818182
Maryland,39.76470588235294
Massachusetts,37.46153846153846
Michigan,35.42857142857143
Minnesota,31.55
Mississippi,35.81818181818182
Missouri,35.791666666666664
Montana,30.894736842105264
Nebraska,28.555555555555557
Nevada,38.111111111111114
New Hampshire,36.0
New Jersey,38.4375
New Mexico,31.875
New York,32.61290322580645
North Carolina,36.55263157894737
North Dakota,33.27272727272727
Ohio,35.46341463414634
Oklahoma,35.42857142857143
Oregon,28.695652173913043
Pennsylvania,40.68421052631579
Puerto Rico,19.166666666666668
Rhode Island,34.333333333333336
South Carolina,35.578947368421055
South Dakota,31.6
Tennessee,36.82608695652174
Texas,32.87755102040816
Utah,44.214285714285715
Vermont,29.25
Virgin Islands,19.5
Virginia,29.742857142857144
Washington,26.966666666666665
West Virginia,31.5
Wisconsin,35.67857142857143
Wyoming,38.470588235294116
