State,rate
Hawaii,2.2
Colorado,2.6
North Dakota,2.6
New Hampshire,2.8
Nebraska,3.0
Vermont,3.0
Iowa,3.1
South Dakota,3.1
Utah,3.1
Idaho,3.2
Wisconsin,3.3
Maine,3.4
Indiana,3.5
Minnesota,3.5
Kansas,3.6
Arkansas,3.7
Missouri,3.7
Tennessee,3.7
Virginia,3.7
Massachusetts,3.8
Maryland,4.0
Oklahoma,4.0
Montana,4.1
Oregon,4.1
South Carolina,4.2
Florida,4.3
Texas,4.3
Wyoming,4.3
Connecticut,4.4
Alabama,4.5
Delaware,4.5
New Jersey,4.5
North Carolina,4.5
Rhode Island,4.5
Michigan,4.6
New York,4.6
Washington,4.6
California,4.8
Georgia,4.8
Kentucky,4.8
Illinois,4.9
Arizona,5.0
Nevada,5.0
Ohio,5.0
Pennsylvania,5.0
Louisiana,5.1
Mississippi,5.2
West Virginia,5.2
District of Columbia,6.1
New Mexico,6.1
Alaska,6.5
